iso3,Year,Population
KHM,1999,12265731.0
KOR,1999,46616677.0
KWT,1999,1900030.0
LAO,1999,5340784.0
LBN,1999,4255277.0
LBR,1999,2821684.0
LBY,1999,5218038.0
LKA,1999,18944731.0
LTU,1999,3524238.0
MAR,1999,28027179.0
MDA,1999,2930622.0
MDG,1999,16000506.0
MEX,1999,97115707.0
MKD,1999,2017142.0
MLI,1999,11227415.0
MMR,1999,44787724.0
MNG,1999,2356813.0
MOZ,1999,17734506.0
MRT,1999,2541698.0
MWI,1999,11047804.0
MYS,1999,22435531.0
NAM,1999,1776368.0
NER,1999,11117411.0
NGA,1999,123047320.0
NIC,1999,4954018.0
NLD,1999,15812088.0
NOR,1999,4461913.0
NZL,1999,3835100.0
OMN,1999,2252909.0
PAK,1999,150565377.0
PAN,1999,2951822.0
PER,1999,26186504.0
PHL,1999,77753257.0
PNG,1999,5349333.0
POL,1999,38660271.0
PRK,1999,23497599.0
PRT,1999,10217828.0
PRY,1999,5003135.0
QAT,1999,612500.0
ROU,1999,22472040.0
RUS,1999,147214776.0
SAU,1999,15472075.0
SDN,1999,27130613.0
SEN,1999,9730887.0
SGP,1999,3958723.0
SLE,1999,4318043.0
SLV,1999,5913900.0
SRB,1999,7540401.0
SSD,1999,5771628.0
SVK,1999,5396020.0
SVN,1999,1983045.0
SWE,1999,8857874.0
SYR,1999,16228061.0
TCD,1999,8222705.0
TGO,1999,5000269.0
THA,1999,62299043.0
TJK,1999,6208370.0
TKM,1999,4492170.0
TUN,1999,9655963.0
TUR,1999,64591923.0
TZA,1999,33300330.0
UGA,1999,23257281.0
UKR,1999,49976446.0
URY,1999,3254015.0
USA,1999,279040000.0
UZB,1999,24476008.0
VEN,1999,24066593.0
VNM,1999,76287452.0
YEM,1999,19029420.0
ZAF,1999,46730335.0
ZMB,1999,9740005.0
ZWE,1999,11783458.0
AFG,2000,20130327.0
AGO,2000,16194869.0
ALB,2000,3089027.0
ARE,2000,3493575.0
ARG,2000,37213984.0
ARM,2000,3221100.0
AUS,2000,19028802.0
AUT,2000,8011566.0
AZE,2000,8048600.0
BEL,2000,10251250.0
BEN,2000,7221619.0
BFA,2000,11925546.0
BGD,2000,134544304.0
BGR,2000,8170172.0
BIH,2000,4159771.0
BLR,2000,9979610.0
BOL,2000,8606326.0
BRA,2000,174018282.0
BWA,2000,1677382.0
CAN,2000,30685730.0
CHE,2000,7184250.0
CHL,2000,15503635.0
CHN,2000,1262645000.0
CIV,2000,17699004.0
CMR,2000,14912631.0
COD,2000,50507442.0
COG,2000,3151345.0
COL,2000,39089934.0
CRI,2000,3937739.0
CUB,2000,11109109.0
CZE,2000,10255063.0
DEU,2000,82211508.0
DNK,2000,5339616.0
DOM,2000,8584190.0
DZA,2000,30903893.0
ECU,2000,12689206.0
EGY,2000,73083284.0
ESP,2000,40567864.0
ETH,2000,67411494.0
FIN,2000,5176209.0
FRA,2000,60918661.0
GAB,2000,1275572.0
GBR,2000,58892514.0
GEO,2000,4077131.0
GHA,2000,19637087.0
GIN,2000,8428832.0
GRC,2000,10805808.0
GTM,2000,11697592.0
HKG,2000,6665000.0
HND,2000,6577773.0
HRV,2000,4468302.0
HUN,2000,10210971.0
IDN,2000,216077790.0
IND,2000,1057922733.0
IRL,2000,3805174.0
IRN,2000,66418659.0
IRQ,2000,24424056.0
ISR,2000,6289000.0
ITA,2000,56942108.0
JAM,2000,2607826.0
JOR,2000,5386945.0
JPN,2000,126843000.0
KAZ,2000,15501103.0
KEN,2000,30642890.0
KGZ,2000,4898362.0
KHM,2000,12462336.0
KOR,2000,47008111.0
KWT,2000,1954709.0
LAO,2000,5431212.0
LBN,2000,4329340.0
LBR,2000,2928117.0
LBY,2000,5305021.0
LKA,2000,19293054.0
LTU,2000,3499536.0
MAR,2000,28423435.0
MDA,2000,2924668.0
MDG,2000,16516338.0
MEX,2000,98625552.0
MKD,2000,2026350.0
MLI,2000,11559290.0
MMR,2000,45290841.0
MNG,2000,2388299.0
MOZ,2000,18129653.0
MRT,2000,2613441.0
MWI,2000,11315942.0
MYS,2000,22967816.0
NAM,2000,1818647.0
NER,2000,11509630.0
NGA,2000,126382494.0
NIC,2000,5022633.0
NLD,2000,15925513.0
NOR,2000,4490967.0
NZL,2000,3857700.0
OMN,2000,2282131.0
PAK,2000,154879127.0
PAN,2000,3010369.0
PER,2000,26598331.0
PHL,2000,79625397.0
PNG,2000,5537064.0
POL,2000,38258629.0
PRK,2000,23665910.0
PRT,2000,10289898.0
PRY,2000,5100868.0
QAT,2000,644989.0
ROU,2000,22442971.0
RUS,2000,146596869.0
SAU,2000,16177722.0
SDN,2000,27816745.0
SEN,2000,9968260.0
SGP,2000,4027887.0
SLE,2000,4423611.0
SLV,2000,5943366.0
SRB,2000,7516346.0
SSD,2000,6032267.0
SVK,2000,5388720.0
SVN,2000,1988925.0
SWE,2000,8872109.0
SYR,2000,16637888.0
TCD,2000,8512093.0
TGO,2000,5140037.0
THA,2000,63007815.0
TJK,2000,6284735.0
TKM,2000,4582677.0
TUN,2000,9764935.0
TUR,2000,65425961.0
TZA,2000,34260139.0
UGA,2000,24000150.0
UKR,2000,49556660.0
URY,2000,3266206.0
USA,2000,282162411.0
UZB,2000,24787054.0
VEN,2000,24526708.0
VNM,2000,77154011.0
YEM,2000,19624141.0
ZAF,2000,47159719.0
ZMB,2000,10017631.0
ZWE,2000,11892055.0
AFG,2001,20284307.0
AGO,2001,16747208.0
ALB,2001,3060173.0
ARE,2001,3723590.0
ARG,2001,37624825.0
ARM,2001,3211800.0
AUS,2001,19274701.0
AUT,2001,8042293.0
AZE,2001,8111200.0
BEL,2001,10286570.0
BEN,2001,7445596.0
BFA,2001,12295001.0
BGD,2001,136805810.0
BGR,2001,8009142.0
BIH,2001,4179438.0
BLR,2001,9928549.0
BOL,2001,8752736.0
BRA,2001,176301203.0
BWA,2001,1712254.0
CAN,2001,31020855.0
CHE,2001,7229854.0
CHL,2001,15683849.0
CHN,2001,1271850000.0
CIV,2001,18178913.0
CMR,2001,15309490.0
COD,2001,52132646.0
COG,2001,3272537.0
COL,2001,39709262.0
CRI,2001,4008947.0
CUB,2001,11144132.0
CZE,2001,10216605.0
DEU,2001,82349925.0
DNK,2001,5358783.0
DOM,2001,8720283.0
DZA,2001,31331221.0
ECU,2001,12910740.0
EGY,2001,74652029.0
ESP,2001,40850412.0
ETH,2001,69487762.0
FIN,2001,5188008.0
FRA,2001,61364377.0
GAB,2001,1309589.0
GBR,2001,59119673.0
GEO,2001,4014373.0
GHA,2001,20167069.0
GIN,2001,8539960.0
GRC,2001,10862132.0
GTM,2001,11969422.0
HKG,2001,6714300.0
HND,2001,6757993.0
HRV,2001,4299642.0
HUN,2001,10187576.0
IDN,2001,219097902.0
IND,2001,1077898575.0
IRL,2001,3866243.0
IRN,2001,67452005.0
IRQ,2001,25197840.0
ISR,2001,6439000.0
ITA,2001,56976981.0
JAM,2001,2624403.0
JOR,2001,5498894.0
JPN,2001,127149000.0
KAZ,2001,15575550.0
KEN,2001,31619170.0
KGZ,2001,4945073.0
KHM,2001,12658484.0
KOR,2001,47370164.0
KWT,2001,2008121.0
LAO,2001,5521482.0
LBN,2001,4401918.0
LBR,2001,3015338.0
LBY,2001,5403639.0
LKA,2001,19600362.0
LTU,2001,3470818.0
MAR,2001,28814643.0
MDA,2001,2918135.0
MDG,2001,17032939.0
MEX,2001,100099099.0
MKD,2001,2034882.0
MLI,2001,11912158.0
MMR,2001,45771139.0
MNG,2001,2417751.0
MOZ,2001,18537729.0
MRT,2001,2678760.0
MWI,2001,11593058.0
MYS,2001,23526538.0
NAM,2001,1857048.0
NER,2001,11920647.0
NGA,2001,129862595.0
NIC,2001,5087825.0
NLD,2001,16046180.0
NOR,2001,4513751.0
NZL,2001,3880500.0
OMN,2001,2310217.0
PAK,2001,159270907.0
PAN,2001,3069537.0
PER,2001,26964601.0
PHL,2001,81401488.0
PNG,2001,5728435.0
POL,2001,38248076.0
PRK,2001,23815358.0
PRT,2001,10362722.0
PRY,2001,5187689.0
QAT,2001,677925.0
ROU,2001,22131970.0
RUS,2001,145976482.0
SAU,2001,17041397.0
SDN,2001,28516770.0
SEN,2001,10212942.0
SGP,2001,4138012.0
SLE,2001,4692716.0
SLV,2001,5968060.0
SRB,2001,7503433.0
SSD,2001,6308391.0
SVK,2001,5378867.0
SVN,2001,1992060.0
SWE,2001,8895960.0
SYR,2001,17051338.0
TCD,2001,8804124.0
TGO,2001,5277382.0
THA,2001,63651141.0
TJK,2001,6407377.0
TKM,2001,4675409.0
TUN,2001,9869677.0
TUR,2001,66245128.0
TZA,2001,35198299.0
UGA,2001,24745676.0
UKR,2001,49106855.0
URY,2001,3274251.0
USA,2001,284968955.0
UZB,2001,25090283.0
VEN,2001,24979922.0
VNM,2001,77969361.0
YEM,2001,20226147.0
ZAF,2001,47566800.0
ZMB,2001,10325185.0
ZWE,2001,11971901.0
AFG,2002,21378117.0
AGO,2002,17327699.0
ALB,2002,3051010.0
ARE,2002,3956826.0
ARG,2002,38029349.0
ARM,2002,3199800.0
AUS,2002,19495210.0
AUT,2002,8081957.0
AZE,2002,8171950.0
BEL,2002,10332785.0
BEN,2002,7675426.0
BFA,2002,12680897.0
BGD,2002,138933658.0
BGR,2002,7837161.0
BIH,2002,4188002.0
BLR,2002,9865548.0
BOL,2002,8900355.0
BRA,2002,178503484.0
BWA,2002,1744763.0
CAN,2002,31359199.0
CHE,2002,7284753.0
CHL,2002,15857925.0
CHN,2002,1280400000.0
CIV,2002,18654771.0
CMR,2002,15725528.0
COD,2002,53750524.0
COG,2002,3350771.0
COL,2002,40324680.0
CRI,2002,4075705.0
CUB,2002,11177418.0
CZE,2002,10196916.0
DEU,2002,82488495.0
DNK,2002,5375931.0
DOM,2002,8852235.0
DZA,2002,31750835.0
ECU,2002,13138472.0
EGY,2002,76239137.0
ESP,2002,41431558.0
ETH,2002,71635517.0
FIN,2002,5200598.0
FRA,2002,61812142.0
GAB,2002,1345135.0
GBR,2002,59370479.0
GEO,2002,3978515.0
GHA,2002,20729388.0
GIN,2002,8674066.0
GRC,2002,10902022.0
GTM,2002,12246915.0
HKG,2002,6744100.0
HND,2002,6938859.0
HRV,2002,4302174.0
HUN,2002,10158608.0
IDN,2002,222088495.0
IND,2002,1097600380.0
IRL,2002,3931947.0
IRN,2002,68011317.0
IRQ,2002,26006559.0
ISR,2002,6570000.0
ITA,2002,57089824.0
JAM,2002,2640572.0
JOR,2002,5616066.0
JPN,2002,127445000.0
KAZ,2002,15656677.0
KEN,2002,32629808.0
KGZ,2002,4990704.0
KHM,2002,12855241.0
KOR,2002,47644736.0
KWT,2002,2059974.0
LAO,2002,5610889.0
LBN,2002,4463504.0
LBR,2002,3094782.0
LBY,2002,5508410.0
LKA,2002,19805752.0
LTU,2002,3443067.0
MAR,2002,29198142.0
MDA,2002,2911385.0
MDG,2002,17549913.0
MEX,2002,101548624.0
MKD,2002,2020157.0
MLI,2002,12288050.0
MMR,2002,46232653.0
MNG,2002,2449027.0
MOZ,2002,18958338.0
MRT,2002,2738655.0
MWI,2002,11880440.0
MYS,2002,24102477.0
NAM,2002,1889970.0
NER,2002,12349144.0
NGA,2002,133471989.0
NIC,2002,5149909.0
NLD,2002,16148929.0
NOR,2002,4538159.0
NZL,2002,3948500.0
OMN,2002,2337140.0
PAK,2002,163222549.0
PAN,2002,3129344.0
PER,2002,27288217.0
PHL,2002,83068889.0
PNG,2002,5924003.0
POL,2002,38230364.0
PRK,2002,23943973.0
PRT,2002,10419631.0
PRY,2002,5261328.0
QAT,2002,711205.0
ROU,2002,21730496.0
RUS,2002,145306497.0
SAU,2002,17910910.0
SDN,2002,29228727.0
SEN,2002,10466214.0
SGP,2002,4175950.0
SLE,2002,4971435.0
SLV,2002,5986631.0
SRB,2002,7500031.0
SSD,2002,6596806.0
SVK,2002,5376912.0
SVN,2002,1994530.0
SWE,2002,8924958.0
SYR,2002,17468332.0
TCD,2002,9116192.0
TGO,2002,5413274.0
THA,2002,64266437.0
TJK,2002,6531669.0
TKM,2002,4769465.0
TUN,2002,9971515.0
TUR,2002,67048795.0
TZA,2002,36121304.0
UGA,2002,25532870.0
UKR,2002,48677281.0
URY,2002,3278867.0
USA,2002,287625193.0
UZB,2002,25399980.0
VEN,2002,25435671.0
VNM,2002,78772224.0
YEM,2002,20835086.0
ZAF,2002,48019415.0
ZMB,2002,10647949.0
ZWE,2002,12087653.0
AFG,2003,22733049.0
AGO,2003,17943712.0
ALB,2003,3039616.0
ARE,2003,4192457.0
ARG,2003,38424282.0
ARM,2003,3182500.0
AUS,2003,19720737.0
AUT,2003,8121423.0
AZE,2003,8234100.0
BEL,2003,10376133.0
BEN,2003,7913070.0
BFA,2003,13082532.0
BGD,2003,140970351.0
BGR,2003,7775327.0
BIH,2003,4178523.0
BLR,2003,9796749.0
BOL,2003,9050700.0
BRA,2003,180622688.0
BWA,2003,1775736.0
CAN,2003,31642461.0
CHE,2003,7339001.0
CHL,2003,16024752.0
CHN,2003,1288400000.0
CIV,2003,19125542.0
CMR,2003,16160340.0
COD,2003,55343867.0
COG,2003,3445753.0
COL,2003,40937429.0
CRI,2003,4138784.0
CUB,2003,11209383.0
CZE,2003,10193998.0
DEU,2003,82534176.0
DNK,2003,5390574.0
DOM,2003,8980620.0
DZA,2003,32175818.0
ECU,2003,13372306.0
EGY,2003,77853548.0
ESP,2003,42187645.0
ETH,2003,73832663.0
FIN,2003,5213014.0
FRA,2003,62249855.0
GAB,2003,1382350.0
GBR,2003,59647577.0
GEO,2003,3951736.0
GHA,2003,21296705.0
GIN,2003,8870781.0
GRC,2003,10928070.0
GTM,2003,12525842.0
HKG,2003,6730800.0
HND,2003,7119213.0
HRV,2003,4303399.0
HUN,2003,10129552.0
IDN,2003,225048008.0
IND,2003,1116803006.0
IRL,2003,3996521.0
IRN,2003,68769340.0
IRQ,2003,26802659.0
ISR,2003,6689700.0
ITA,2003,57399184.0
JAM,2003,2656623.0
JOR,2003,5741828.0
JPN,2003,127718000.0
KAZ,2003,15747380.0
KEN,2003,33652223.0
KGZ,2003,5043308.0
KHM,2003,13050968.0
KOR,2003,47892330.0
KWT,2003,2109881.0
LAO,2003,5697945.0
LBN,2003,4525508.0
LBR,2003,3119532.0
LBY,2003,5619398.0
LKA,2003,19951521.0
LTU,2003,3415213.0
MAR,2003,29571415.0
MDA,2003,2903198.0
MDG,2003,18071854.0
MEX,2003,102978515.0
MKD,2003,2022725.0
MLI,2003,12684955.0
MMR,2003,46667192.0
MNG,2003,2480374.0
MOZ,2003,19392475.0
MRT,2003,2802046.0
MWI,2003,12181574.0
MYS,2003,24679602.0
NAM,2003,1917464.0
NER,2003,12796984.0
NGA,2003,137202644.0
NIC,2003,5210963.0
NLD,2003,16225302.0
NOR,2003,4564855.0
NZL,2003,4027200.0
OMN,2003,2363796.0
PAK,2003,167110248.0
PAN,2003,3189807.0
PER,2003,27580490.0
PHL,2003,84731835.0
PNG,2003,6123997.0
POL,2003,38204570.0
PRK,2003,24090380.0
PRT,2003,10458821.0
PRY,2003,5326436.0
QAT,2003,744682.0
ROU,2003,21574326.0
RUS,2003,144648618.0
SAU,2003,18786767.0
SDN,2003,29896035.0
SEN,2003,10721176.0
SGP,2003,4114826.0
SLE,2003,5177687.0
SLV,2003,5998599.0
SRB,2003,7480591.0
SSD,2003,6903127.0
SVK,2003,5373374.0
SVN,2003,1995733.0
SWE,2003,8958229.0
SYR,2003,17889296.0
TCD,2003,9487833.0
TGO,2003,5552167.0
THA,2003,64868166.0
TJK,2003,6658575.0
TKM,2003,4863865.0
TUN,2003,10071632.0
TUR,2003,67831730.0
TZA,2003,37089555.0
UGA,2003,26352124.0
UKR,2003,48315136.0
URY,2003,3281186.0
USA,2003,290107933.0
UZB,2003,25711259.0
VEN,2003,25892703.0
VNM,2003,79563777.0
YEM,2003,21456379.0
ZAF,2003,48500348.0
ZMB,2003,10983595.0
ZWE,2003,12232323.0
AFG,2004,23560654.0
AGO,2004,18600423.0
ALB,2004,3026939.0
ARE,2004,4428967.0
ARG,2004,38815916.0
ARM,2004,3164900.0
AUS,2004,19932722.0
AUT,2004,8171966.0
AZE,2004,8306500.0
BEL,2004,10421137.0
BEN,2004,8159094.0
BFA,2004,13500533.0
BGD,2004,142902856.0
BGR,2004,7716860.0
BIH,2004,4140987.0
BLR,2004,9730146.0
BOL,2004,9204287.0
BRA,2004,182675143.0
BWA,2004,1807146.0
CAN,2004,31938807.0
CHE,2004,7389625.0
CHL,2004,16187322.0
CHN,2004,1296075000.0
CIV,2004,19595000.0
CMR,2004,16610487.0
COD,2004,56997741.0
COG,2004,3565554.0
COL,2004,41543171.0
CRI,2004,4200078.0
CUB,2004,11238756.0
CZE,2004,10197101.0
DEU,2004,82516260.0
DNK,2004,5404523.0
DOM,2004,9104892.0
DZA,2004,32628286.0
ECU,2004,13608701.0
EGY,2004,79477443.0
ESP,2004,42921895.0
ETH,2004,76077206.0
FIN,2004,5228172.0
FRA,2004,62707588.0
GAB,2004,1421609.0
GBR,2004,59987905.0
GEO,2004,3927340.0
GHA,2004,21868298.0
GIN,2004,9062726.0
GRC,2004,10955141.0
GTM,2004,12807402.0
HKG,2004,6783500.0
HND,2004,7298994.0
HRV,2004,4304600.0
HUN,2004,10107146.0
IDN,2004,227926649.0
IND,2004,1135991513.0
IRL,2004,4070262.0
IRN,2004,70256316.0
IRQ,2004,27577878.0
ISR,2004,6809000.0
ITA,2004,57828179.0
JAM,2004,2672225.0
JOR,2004,5882061.0
JPN,2004,127761000.0
KAZ,2004,15850159.0
KEN,2004,34713455.0
KGZ,2004,5104713.0
KHM,2004,13244731.0
KOR,2004,48082519.0
KWT,2004,2157320.0
LAO,2004,5781626.0
LBN,2004,4599279.0
LBR,2004,3156892.0
LBY,2004,5736693.0
LKA,2004,20087605.0
LTU,2004,3377075.0
MAR,2004,29953018.0
MDA,2004,2896023.0
MDG,2004,18606608.0
MEX,2004,104394131.0
MKD,2004,2016186.0
MLI,2004,13102409.0
MMR,2004,47068772.0
MNG,2004,2508412.0
MOZ,2004,19840313.0
MRT,2004,2868664.0
MWI,2004,12500737.0
MYS,2004,25256772.0
NAM,2004,1942082.0
NER,2004,13265836.0
NGA,2004,141057045.0
NIC,2004,5272912.0
NLD,2004,16281779.0
NOR,2004,4591910.0
NZL,2004,4087500.0
OMN,2004,2404821.0
PAK,2004,171286000.0
PAN,2004,3251155.0
PER,2004,27852190.0
PHL,2004,86394504.0
PNG,2004,6328041.0
POL,2004,38182222.0
PRK,2004,24254943.0
PRT,2004,10483861.0
PRY,2004,5388175.0
QAT,2004,773332.0
ROU,2004,21451748.0
RUS,2004,144067316.0
SAU,2004,19669480.0
SDN,2004,30556637.0
SEN,2004,10975704.0
SGP,2004,4166664.0
SLE,2004,5355717.0
SLV,2004,6004671.0
SRB,2004,7463157.0
SSD,2004,7233041.0
SVK,2004,5372280.0
SVN,2004,1997012.0
SWE,2004,8993531.0
SYR,2004,18336875.0
TCD,2004,9920036.0
TGO,2004,5696508.0
THA,2004,65452047.0
TJK,2004,6790547.0
TKM,2004,4958093.0
TUN,2004,10166163.0
TUR,2004,68592617.0
TZA,2004,38109668.0
UGA,2004,27154515.0
UKR,2004,47979507.0
URY,2004,3283148.0
USA,2004,292805298.0
UZB,2004,26029350.0
VEN,2004,26340838.0
VNM,2004,80338971.0
YEM,2004,22095167.0
ZAF,2004,48991421.0
ZMB,2004,11338198.0
ZWE,2004,12365896.0
AFG,2005,24404567.0
AGO,2005,19291161.0
ALB,2005,3011487.0
ARE,2005,4664790.0
ARG,2005,39216789.0
ARM,2005,3146400.0
AUS,2005,20176844.0
AUT,2005,8227829.0
AZE,2005,8391850.0
BEL,2005,10478617.0
BEN,2005,8426144.0
BFA,2005,13932123.0
BGD,2005,144715786.0
BGR,2005,7658972.0
BIH,2005,4096493.0
BLR,2005,9663915.0
BOL,2005,9360754.0
BRA,2005,184688101.0
BWA,2005,1839877.0
CAN,2005,32242732.0
CHE,2005,7437115.0
CHL,2005,16348778.0
CHN,2005,1303720000.0
CIV,2005,20068458.0
CMR,2005,17074594.0
COD,2005,58775724.0
COG,2005,3696393.0
COL,2005,42128977.0
CRI,2005,4261240.0
CUB,2005,11262554.0
CZE,2005,10211216.0
DEU,2005,82469422.0
DNK,2005,5419432.0
DOM,2005,9225034.0
DZA,2005,33109249.0
ECU,2005,13846163.0
EGY,2005,81101004.0
ESP,2005,43653155.0
ETH,2005,78367470.0
FIN,2005,5246096.0
FRA,2005,63180854.0
GAB,2005,1463495.0
GBR,2005,60401206.0
GEO,2005,3902469.0
GHA,2005,22449438.0
GIN,2005,9245844.0
GRC,2005,10987314.0
GTM,2005,13087629.0
HKG,2005,6813200.0
HND,2005,7478355.0
HRV,2005,4310145.0
HUN,2005,10087065.0
IDN,2005,230871650.0
IND,2005,1154676322.0
IRL,2005,4159914.0
IRN,2005,71828455.0
IRQ,2005,28407448.0
ISR,2005,6930100.0
ITA,2005,58166682.0
JAM,2005,2687066.0
JOR,2005,6029587.0
JPN,2005,127773000.0
KAZ,2005,15968117.0
KEN,2005,35796484.0
KGZ,2005,5162640.0
KHM,2005,13439202.0
KOR,2005,48184561.0
KWT,2005,2236788.0
LAO,2005,5869523.0
LBN,2005,4671102.0
LBR,2005,3301015.0
LBY,2005,5858798.0
LKA,2005,20216524.0
LTU,2005,3322528.0
MAR,2005,30358144.0
MDA,2005,2888985.0
MDG,2005,19159707.0
MEX,2005,105811504.0
MKD,2005,2005330.0
MLI,2005,13538647.0
MMR,2005,47438365.0
MNG,2005,2536407.0
MOZ,2005,20304569.0
MRT,2005,2939059.0
MWI,2005,12840031.0
MYS,2005,25836071.0
NAM,2005,1966582.0
NER,2005,13756192.0
NGA,2005,145017253.0
NIC,2005,5342105.0
NLD,2005,16319868.0
NOR,2005,4623291.0
NZL,2005,4133900.0
OMN,2005,2459802.0
PAK,2005,175453212.0
PAN,2005,3313026.0
PER,2005,28101180.0
PHL,2005,88015962.0
PNG,2005,6535905.0
POL,2005,38165445.0
PRK,2005,24396433.0
PRT,2005,10503330.0
PRY,2005,5448097.0
QAT,2005,825408.0
ROU,2005,21319685.0
RUS,2005,143518814.0
SAU,2005,20559890.0
SDN,2005,31262444.0
SEN,2005,11235472.0
SGP,2005,4265762.0
SLE,2005,5501712.0
SLV,2005,6005578.0
SRB,2005,7440769.0
SSD,2005,7590143.0
SVK,2005,5372807.0
SVN,2005,2000474.0
SWE,2005,9029572.0
SYR,2005,18814091.0
